Team1,Team2,Time,Points1,Points2,ServeEff1,ServeEff2,PosPercent1,PosPercent2,KillPercent1,KillPercent2,EffPercent1,EffPercent2,Score1,Score2
Asseco Resovia Rzeszów,PSG Stal Nysa,"07.04.2023, 17:30",57,40,-5%,-10%,43%,29%,58%,47%,36%,20%,3,0
Asseco Resovia Rzeszów,PSG Stal Nysa,"08.04.2023, 17:30",50,41,6%,-22%,45%,32%,53%,45%,40%,24%,3,0
PSG Stal Nysa,Asseco Resovia Rzeszów,"14.04.2023, 17:30",54,77,-8%,-7%,31%,37%,53%,69%,37%,63%,1,3
Aluron CMC Warta Zawiercie,Indykpol AZS Olsztyn,"06.04.2023, 17:30",51,41,-1%,-21%,43%,45%,50%,43%,41%,18%,3,0
Aluron CMC Warta Zawiercie,Indykpol AZS Olsztyn,"07.04.2023, 20:30",48,59,6%,-14%,29%,45%,52%,52%,39%,39%,3,0
Indykpol AZS Olsztyn,Aluron CMC Warta Zawiercie,"15.04.2023, 14:45",80,62,-8%,-4%,31%,43%,57%,46%,45%,28%,3,2
Indykpol AZS Olsztyn,Aluron CMC Warta Zawiercie,"16.04.2023, 14:45",58,39,1%,-10%,50%,44%,50%,43%,31%,26%,3,0
Aluron CMC Warta Zawiercie,Indykpol AZS Olsztyn,"19.04.2023, 17:30",73,59,-11%,-10%,52%,33%,49%,42%,32%,23%,3,1
Jastrzębski Węgiel,Trefl Gdańsk,"08.04.2023, 14:45",49,37,6%,-21%,55%,46%,53%,42%,37%,30%,3,0
Jastrzębski Węgiel,Trefl Gdańsk,"09.04.2023, 17:30",52,41,1%,-14%,38%,57%,52%,35%,40%,13%,3,0
Trefl Gdańsk,Jastrzębski Węgiel,"12.04.2023, 20:30",73,68,-6%,5%,37%,36%,51%,55%,35%,43%,1,3
Grupa Azoty ZAKSA Kędzierzyn-Koźle,Projekt Warszawa,"09.04.2023, 14:45",74,76,-4%,-2%,36%,43%,51%,44%,35%,25%,3,2
Grupa Azoty ZAKSA Kędzierzyn-Koźle,Projekt Warszawa,"10.04.2023, 14:45",73,76,-17%,-3%,35%,51%,44%,44%,26%,26%,3,2
Projekt Warszawa,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"14.04.2023, 20:30",73,73,-13%,-8%,35%,54%,51%,46%,38%,29%,3,2
Projekt Warszawa,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"15.04.2023, 20:30",65,67,-14%,-11%,46%,37%,49%,49%,31%,35%,1,3
Asseco Resovia Rzeszów,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"22.04.2023, 14:45",71,65,-8%,-4%,43%,36%,50%,45%,28%,26%,2,3
Asseco Resovia Rzeszów,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"23.04.2023, 14:45",67,75,-6%,5%,34%,37%,57%,56%,41%,41%,1,3
Grupa Azoty ZAKSA Kędzierzyn-Koźle,Asseco Resovia Rzeszów,"26.04.2023, 17:30",71,74,-10%,-14%,46%,37%,56%,55%,42%,38%,3,2
Aluron CMC Warta Zawiercie,Jastrzębski Węgiel,"22.04.2023, 20:30",52,68,-10%,-10%,39%,32%,43%,52%,23%,44%,1,3
Aluron CMC Warta Zawiercie,Jastrzębski Węgiel,"23.04.2023, 20:30",77,84,-15%,-11%,49%,48%,47%,53%,31%,37%,2,3
Jastrzębski Węgiel,Aluron CMC Warta Zawiercie,"26.04.2023, 20:30",56,32,0%,-11%,47%,40%,58%,38%,45%,14%,3,0
Cuprum Lubin,Barkom Każany Lwów,"16.04.2023, 20:30",52,52,-14%,-1%,46%,40%,47%,55%,28%,41%,0,3
Barkom Każany Lwów,Cuprum Lubin,"17.04.2023, 17:30",75,69,-9%,-11%,44%,55%,55%,50%,43%,31%,3,2
GKS Katowice,PGE Skra Bełchatów,"13.04.2023, 20:30",70,63,-9%,-20%,51%,49%,58%,54%,46%,44%,3,1
PGE Skra Bełchatów,GKS Katowice,"18.04.2023, 17:30",54,44,2%,-15%,53%,50%,67%,57%,54%,40%,3,0
Ślepsk Malow Suwałki,LUK  Lublin,"16.04.2023, 17:30",69,64,-10%,-15%,48%,46%,61%,53%,49%,39%,3,1
LUK  Lublin,Ślepsk Malow Suwałki,"18.04.2023, 20:30",36,63,-3%,-6%,42%,48%,45%,65%,24%,50%,0,3
PSG Stal Nysa,Indykpol AZS Olsztyn,"21.04.2023, 20:30",75,55,-7%,-9%,48%,44%,51%,46%,38%,29%,3,1
Indykpol AZS Olsztyn,PSG Stal Nysa,"24.04.2023, 17:30",37,48,-18%,6%,45%,50%,35%,50%,6%,32%,0,3
Trefl Gdańsk,Projekt Warszawa,"24.04.2023, 20:30",67,67,-7%,-6%,47%,38%,46%,53%,28%,36%,1,3
Projekt Warszawa,Trefl Gdańsk,"28.04.2023, 20:30",83,85,-7%,-6%,33%,37%,59%,47%,47%,28%,2,3
Asseco Resovia Rzeszów,Aluron CMC Warta Zawiercie,"02.05.2023, 20:30",71,78,-13%,-5%,39%,40%,52%,53%,41%,42%,2,3
Aluron CMC Warta Zawiercie,Asseco Resovia Rzeszów,"06.05.2023, 17:30",66,52,-18%,-11%,46%,41%,52%,52%,34%,36%,1,3
Asseco Resovia Rzeszów,Aluron CMC Warta Zawiercie,"09.05.2023, 20:30",56,47,-5%,-16%,48%,32%,60%,45%,46%,29%,3,0
Aluron CMC Warta Zawiercie,Asseco Resovia Rzeszów,"13.05.2023, 14:45",78,68,-2%,-15%,36%,35%,51%,48%,32%,36%,3,2
Asseco Resovia Rzeszów,Aluron CMC Warta Zawiercie,"16.05.2023, 20:30",50,34,-12%,-27%,35%,46%,54%,45%,46%,23%,3,0
Jastrzębski Węgiel,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"03.05.2023, 20:30",50,41,-8%,-18%,56%,50%,55%,52%,42%,33%,3,0
Grupa Azoty ZAKSA Kędzierzyn-Koźle,Jastrzębski Węgiel,"06.05.2023, 14:45",61,75,-13%,0%,41%,42%,53%,56%,41%,45%,1,3
Jastrzębski Węgiel,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"10.05.2023, 20:30",54,33,0%,-19%,59%,47%,59%,40%,53%,11%,3,0
Indykpol AZS Olsztyn,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"01.10.2022, 14:45",60,69,-13%,2%,51%,45%,47%,51%,26%,35%,1,3
Jastrzębski Węgiel,GKS Katowice,"30.09.2022, 17:30",51,48,-7%,-11%,55%,50%,48%,47%,43%,34%,3,0
LUK  Lublin,Cerrad Enea Czarni Radom,"01.10.2022, 20:30",76,82,-9%,-5%,49%,47%,54%,49%,40%,33%,2,3
Aluron CMC Warta Zawiercie,PGE Skra Bełchatów,"02.10.2022, 14:45",66,71,-16%,-8%,35%,32%,56%,54%,40%,37%,3,2
BBTS Bielsko-Biała,Cuprum Lubin,"03.10.2022, 17:30",63,80,-7%,-8%,40%,45%,49%,53%,34%,39%,1,3
PSG Stal Nysa,Ślepsk Malow Suwałki,"02.10.2022, 20:30",68,62,-12%,-7%,31%,42%,53%,49%,44%,34%,3,1
Trefl Gdańsk,Barkom Każany Lwów,"02.10.2022, 17:30",59,38,-6%,-17%,46%,36%,60%,42%,48%,32%,3,0
Asseco Resovia Rzeszów,Projekt Warszawa,"01.10.2022, 17:30",52,32,-8%,-20%,50%,36%,52%,34%,34%,13%,3,0
GKS Katowice,Projekt Warszawa,"04.10.2022, 16:30",67,55,-6%,-6%,44%,47%,51%,45%,37%,28%,3,1
Barkom Każany Lwów,Asseco Resovia Rzeszów,"05.10.2022, 18:45",40,52,-1%,-6%,28%,38%,46%,64%,26%,54%,0,3
Ślepsk Malow Suwałki,Trefl Gdańsk,"06.10.2022, 21:00",68,78,-14%,-6%,48%,64%,48%,51%,37%,33%,3,1
Cuprum Lubin,PSG Stal Nysa,"06.10.2022, 18:45",35,58,-16%,2%,38%,53%,38%,59%,18%,46%,0,3
PGE Skra Bełchatów,BBTS Bielsko-Biała,"05.10.2022, 21:00",52,49,-2%,-13%,54%,46%,57%,47%,49%,27%,3,0
Cerrad Enea Czarni Radom,Aluron CMC Warta Zawiercie,"05.10.2022, 16:30",45,61,-12%,1%,30%,50%,40%,46%,18%,32%,0,3
Grupa Azoty ZAKSA Kędzierzyn-Koźle,LUK  Lublin,"04.10.2022, 21:00",59,45,-5%,-3%,43%,56%,59%,42%,47%,21%,3,0
Jastrzębski Węgiel,Indykpol AZS Olsztyn,"04.10.2022, 18:45",73,68,-7%,-6%,41%,35%,61%,53%,49%,37%,3,1
Indykpol AZS Olsztyn,GKS Katowice,"08.10.2022, 17:30",61,47,1%,-4%,44%,35%,57%,50%,50%,33%,3,0
LUK  Lublin,Jastrzębski Węgiel,"07.10.2022, 20:30",66,68,-10%,1%,40%,48%,48%,54%,32%,42%,1,3
Aluron CMC Warta Zawiercie,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"09.10.2022, 14:45",73,68,-2%,-8%,49%,36%,48%,49%,37%,33%,3,1
BBTS Bielsko-Biała,Cerrad Enea Czarni Radom,"10.10.2022, 17:30",69,69,-11%,-14%,41%,41%,44%,46%,31%,30%,3,2
PSG Stal Nysa,PGE Skra Bełchatów,"09.10.2022, 20:30",69,77,-1%,-5%,28%,42%,45%,53%,26%,36%,2,3
Trefl Gdańsk,Cuprum Lubin,"11.10.2022, 17:30",53,41,2%,-3%,57%,32%,59%,40%,50%,23%,3,0
Asseco Resovia Rzeszów,Ślepsk Malow Suwałki,"09.10.2022, 17:30",75,58,-2%,-12%,47%,41%,53%,45%,45%,27%,3,1
Projekt Warszawa,Barkom Każany Lwów,"08.10.2022, 14:45",74,65,-1%,-6%,40%,35%,46%,43%,28%,23%,3,2
GKS Katowice,Barkom Każany Lwów,"16.10.2022, 17:30",72,65,-13%,-13%,43%,40%,51%,48%,30%,31%,3,2
Ślepsk Malow Suwałki,Projekt Warszawa,"15.10.2022, 17:30",74,65,-6%,-11%,52%,54%,48%,44%,37%,26%,3,1
Cuprum Lubin,Asseco Resovia Rzeszów,"15.10.2022, 20:30",50,50,-17%,0%,32%,52%,48%,60%,30%,46%,0,3
PGE Skra Bełchatów,Trefl Gdańsk,"15.10.2022, 14:45",65,62,-4%,-9%,42%,53%,50%,45%,36%,29%,3,1
Cerrad Enea Czarni Radom,PSG Stal Nysa,"14.10.2022, 20:30",71,69,-3%,-6%,47%,33%,47%,51%,27%,38%,1,3
Grupa Azoty ZAKSA Kędzierzyn-Koźle,BBTS Bielsko-Biała,"13.10.2022, 17:30",53,48,0%,-4%,48%,34%,56%,44%,49%,21%,3,0
Jastrzębski Węgiel,Aluron CMC Warta Zawiercie,"16.10.2022, 14:45",57,43,2%,-11%,51%,33%,54%,41%,39%,28%,3,0
Indykpol AZS Olsztyn,LUK  Lublin,"14.10.2022, 17:30",69,52,-10%,-3%,36%,42%,55%,43%,42%,24%,3,1
LUK  Lublin,GKS Katowice,"22.10.2022, 20:30",69,80,-9%,-12%,57%,38%,50%,64%,36%,54%,2,3
Aluron CMC Warta Zawiercie,Indykpol AZS Olsztyn,"22.10.2022, 17:30",69,75,-12%,-14%,44%,43%,49%,50%,35%,35%,2,3
BBTS Bielsko-Biała,Jastrzębski Węgiel,"21.10.2022, 17:30",39,61,-10%,0%,34%,54%,42%,55%,30%,45%,0,3
PSG Stal Nysa,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"21.10.2022, 20:30",51,41,-10%,-24%,47%,45%,50%,45%,35%,21%,3,0
Trefl Gdańsk,Cerrad Enea Czarni Radom,"24.10.2022, 17:30",54,45,-4%,-9%,47%,50%,41%,36%,26%,15%,3,0
PGE Skra Bełchatów,Asseco Resovia Rzeszów,"22.10.2022, 14:45",78,74,-1%,3%,35%,37%,53%,50%,42%,41%,2,3
Projekt Warszawa,Cuprum Lubin,"23.10.2022, 17:30",66,62,-6%,-16%,41%,42%,50%,43%,38%,24%,3,1
Barkom Każany Lwów,Ślepsk Malow Suwałki,"23.10.2022, 14:45",60,66,-12%,-2%,42%,31%,46%,52%,29%,39%,1,3
GKS Katowice,Ślepsk Malow Suwałki,"28.10.2022, 17:30",76,65,-9%,-10%,46%,53%,47%,41%,32%,25%,3,2
Cuprum Lubin,Barkom Każany Lwów,"28.10.2022, 20:30",79,60,0%,-13%,40%,37%,54%,50%,44%,40%,3,2
PGE Skra Bełchatów,Projekt Warszawa,"29.10.2022, 14:45",37,56,-9%,1%,32%,45%,45%,60%,20%,48%,0,3
Cerrad Enea Czarni Radom,Asseco Resovia Rzeszów,"29.10.2022, 20:30",42,50,-20%,-2%,41%,52%,40%,51%,17%,30%,0,3
Grupa Azoty ZAKSA Kędzierzyn-Koźle,Trefl Gdańsk,"30.10.2022, 14:45",50,44,0%,-15%,47%,46%,50%,41%,37%,16%,3,0
